18.03.2016 12:13:38; INFO; 0; Начата очистка лога
18.03.2016 12:13:41; INFO; 0; Успешно проведена очистка лога
18.03.2016 12:15:02; WARNING; 0; LogsCleaner started
18.03.2016 12:15:07; WARNING; 0; LogsCleaner started
18.03.2016 12:19:00; INFO; 0; Начата очистка лога
18.03.2016 12:20:04; WARNING; 0; LogsCleaner started
18.03.2016 12:25:13; WARNING; 0; LogsCleaner started
18.03.2016 12:33:07; WARNING; 0; LogsCleaner started
18.03.2016 12:36:27; INFO; 0; Начата очистка лога
18.03.2016 12:36:30; INFO; 0; Успешно проведена очистка лога
18.03.2016 12:58:57; WARNING; 0; LogsCleaner started
18.03.2016 13:05:57; WARNING; 0; LogsCleaner started
18.03.2016 13:09:17; INFO; 0; Начата очистка лога
18.03.2016 13:09:20; INFO; 0; Успешно проведена очистка лога
18.03.2016 13:16:50; WARNING; 0; LogsCleaner started
18.03.2016 13:20:10; INFO; 0; Начата очистка лога
18.03.2016 13:20:13; INFO; 0; Успешно проведена очистка лога
18.03.2016 13:33:39; WARNING; 0; LogsCleaner started
18.03.2016 13:36:59; INFO; 0; Начата очистка лога
18.03.2016 13:37:02; INFO; 0; Успешно проведена очистка лога
18.03.2016 13:44:01; WARNING; 0; LogsCleaner started
18.03.2016 13:47:21; INFO; 0; Начата очистка лога
18.03.2016 13:47:24; INFO; 0; Успешно проведена очистка лога
18.03.2016 13:50:36; WARNING; 0; LogsCleaner started
18.03.2016 13:55:26; WARNING; 0; LogsCleaner started
18.03.2016 13:58:36; WARNING; 0; LogsCleaner started
18.03.2016 14:05:33; WARNING; 0; LogsCleaner started
18.03.2016 14:08:53; INFO; 0; Начата очистка лога
18.03.2016 14:08:56; INFO; 0; Успешно проведена очистка лога
18.03.2016 14:16:01; WARNING; 0; LogsCleaner started
18.03.2016 14:19:21; INFO; 0; Начата очистка лога
18.03.2016 14:19:24; INFO; 0; Успешно проведена очистка лога
18.03.2016 14:27:17; WARNING; 0; LogsCleaner started
18.03.2016 14:30:37; INFO; 0; Начата очистка лога
18.03.2016 14:30:40; INFO; 0; Успешно проведена очистка лога
18.03.2016 14:43:29; WARNING; 0; LogsCleaner started
18.03.2016 14:46:49; INFO; 0; Начата очистка лога
18.03.2016 14:46:52; INFO; 0; Успешно проведена очистка лога
18.03.2016 15:52:12; WARNING; 0; LogsCleaner started
18.03.2016 15:55:32; INFO; 0; Начата очистка лога
18.03.2016 15:55:35; INFO; 0; Успешно проведена очистка лога
18.03.2016 16:36:40; WARNING; 0; LogsCleaner started
18.03.2016 16:40:15; WARNING; 0; LogsCleaner started
18.03.2016 16:43:35; INFO; 0; Начата очистка лога
18.03.2016 16:43:38; INFO; 0; Успешно проведена очистка лога
18.03.2016 16:55:45; WARNING; 0; LogsCleaner started
18.03.2016 16:59:05; INFO; 0; Начата очистка лога
18.03.2016 16:59:08; INFO; 0; Успешно проведена очистка лога
18.03.2016 17:00:17; WARNING; 0; LogsCleaner started
18.03.2016 17:02:28; WARNING; 0; LogsCleaner started
18.03.2016 17:04:09; WARNING; 0; LogsCleaner started
18.03.2016 17:05:26; WARNING; 0; LogsCleaner started
18.03.2016 17:08:46; INFO; 0; Начата очистка лога
18.03.2016 17:08:49; INFO; 0; Успешно проведена очистка лога
18.03.2016 17:26:03; WARNING; 0; LogsCleaner started
18.03.2016 17:31:30; WARNING; 0; LogsCleaner started
18.03.2016 17:34:50; INFO; 0; Начата очистка лога
18.03.2016 17:34:53; INFO; 0; Успешно проведена очистка лога
18.03.2016 18:35:13; WARNING; 0; LogsCleaner started
18.03.2016 18:38:33; INFO; 0; Начата очистка лога
18.03.2016 18:38:36; INFO; 0; Успешно проведена очистка лога
18.03.2016 18:46:49; WARNING; 0; LogsCleaner started
18.03.2016 18:50:09; INFO; 0; Начата очистка лога
18.03.2016 18:50:15; INFO; 0; Успешно проведена очистка лога
18.03.2016 19:43:39; WARNING; 0; LogsCleaner started
18.03.2016 19:46:59; INFO; 0; Начата очистка лога
18.03.2016 19:47:05; INFO; 0; Успешно проведена очистка лога
18.03.2016 19:52:27; WARNING; 0; LogsCleaner started
18.03.2016 19:55:47; INFO; 0; Начата очистка лога
18.03.2016 19:55:56; INFO; 0; Успешно проведена очистка лога
18.03.2016 19:58:01; WARNING; 0; LogsCleaner started
18.03.2016 20:01:21; INFO; 0; Начата очистка лога
18.03.2016 20:01:30; INFO; 0; Успешно проведена очистка лога
